('Total Revenue', '395,760,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         723125 function calls (698444 primitive calls) in 1.674 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.000    0.000 functools.py:501(lru_cache)
       40    0.000    0.000    0.000    0.000 enum.py:795(<genexpr>)
       40    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
       40    0.000    0.000    0.442    0.011 models.py:816(generate)
       40    0.001    0.000    0.007    0.000 response.py:122(decompress)
       40    0.000    0.000    0.442    0.011 response.py:1044(stream)
       40    0.000    0.000    0.442    0.011 response.py:1173(read_chunked)
       39    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       39    0.000    0.000    0.007    0.000 response.py:469(_decode)
       39    0.000    0.000    0.434    0.011 response.py:1151(_handle_chunk)
       38    0.000    0.000    0.000    0.000 functools.py:541(decorating_function)
